geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	247	34	11.171026996938492	3.0435876673933353	6.488802606341437e-9	3.6213417454845533e-6	351;1123;1630;1808;2549;2596;2736;3800;3908;3913;4628;4756;4897;5080;5598;5797;6091;6092;6259;6464;7474;7852;9638;10154;23022;23129;23191;23654;23767;23768;55558;57556;90249;91653	ENSG00000092421;ENSG00000144857;ENSG00000109458;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000114251;ENSG00000273749;ENSG00000172020;ENSG00000129116;ENSG00000185008;ENSG00000172037;ENSG00000130827;ENSG00000160691;ENSG00000004399;ENSG00000067141;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000168280;ENSG00000007372;ENSG00000169855;ENSG00000142192;ENSG00000113763;ENSG00000133026;ENSG00000136040;ENSG00000092964;ENSG00000173482;ENSG00000149557;ENSG00000091129;ENSG00000187323;ENSG00000196569;ENSG00000125848;ENSG00000166484
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	139	24	6.286529362649596	3.817686773657997	1.3804814180673475e-8	7.062312854596205e-6	2664;5584;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6386;6746;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137575;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000203879;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000163479;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000163558;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0002181	cytoplasmic translation	http://amigo.geneontology.org/amigo/term/GO:0002181	64	16	2.8945171166156416	5.527692307692307	1.6409220870983177e-8	7.748938994381979e-6	1968;3646;6132;6135;6156;6160;6165;6227;8531;8664;8666;8667;8668;25873;27335;170506	ENSG00000171858;ENSG00000182899;ENSG00000142676;ENSG00000130255;ENSG00000174953;ENSG00000100353;ENSG00000178982;ENSG00000130811;ENSG00000071082;ENSG00000130741;ENSG00000104408;ENSG00000156482;ENSG00000147677;ENSG00000084623;ENSG00000161016;ENSG00000060138
GO:0051962	positive regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051962	480	50	21.708878374617314	2.303205128205128	3.05296767866281e-8	1.3387263270936423e-5	116;351;604;653;706;991;1857;2316;2664;2735;2736;3065;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7058;7474;7732;7852;8904;9139;10154;10362;10494;22871;23129;23191;23654;23767;23768;26050;55558;57556;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000111087;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000078699;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000165300;ENSG00000131711;ENSG00000125848;ENSG00000186340;ENSG00000117399
GO:0006402	mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006402	258	33	11.668522126356805	2.8281216457960645	6.647100581069765e-8	2.7204366978124855e-5	328;3646;4869;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10236;11157;11340;23589;25873;55802;170506	ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000026025;ENSG00000090621
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	163	25	7.371973281380463	3.3912222746578573	7.932781898034591e-8	3.043709254502147e-5	3646;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;11157;11340;25873;55802;170506	ENSG00000171858;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0050769	positive regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050769	420	44	18.99526857779015	2.3163663003663	1.7957793896350438e-7	6.484876278217373e-5	116;351;604;653;706;1857;2316;2664;2736;3065;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7474;7732;7852;8904;9139;10154;10362;10494;22871;23129;23191;23654;55558;57556;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000074047;ENSG00000121966;ENSG00000078699;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000131711
GO:0022604	regulation of cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022604	453	46	20.487753966045087	2.2452436746476483	2.344418781330404e-7	7.995770499215194e-5	388;390;832;1123;1630;1808;1857;2316;2633;2664;3679;3987;4131;4135;4628;4804;4897;4916;5064;5454;6091;6092;6259;6383;6857;7168;7474;9368;9762;10109;10154;10494;10630;22836;22871;23129;23191;23654;53335;55558;55920;57556;57580;58480;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000109062;ENSG00000099864;ENSG00000185008;ENSG00000130827;ENSG00000119866;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000143878;ENSG00000162493;ENSG00000161202;ENSG00000135424;ENSG00000163785;ENSG00000116574;ENSG00000164292;ENSG00000196576;ENSG00000128656;ENSG00000169756;ENSG00000169855;ENSG00000179051;ENSG00000117228;ENSG00000140538;ENSG00000115963;ENSG00000174953;ENSG00000203879;ENSG00000133026;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000088899;ENSG00000163466;ENSG00000091129;ENSG00000067715;ENSG00000187323;ENSG00000077549;ENSG00000140416;ENSG00000131711
GO:0006401	RNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006401	288	34	13.025327024770387	2.610299145299145	2.957330389463664e-7	9.555290137324964e-5	328;3646;4869;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10128;10236;11157;11340;23589;25873;55802;170506	ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000138095;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000026025;ENSG00000090621
GO:0010769	regulation of cell morphogenesis involved in differentiation	http://amigo.geneontology.org/amigo/term/GO:0010769	282	33	12.75396604508767	2.587430441898527	5.414343835496993e-7	1.661932840305802e-4	1123;1630;1808;2316;2633;2664;3987;4131;4135;4804;4897;4916;5454;6091;6092;6259;6383;7474;9762;10109;10154;10494;10630;22871;23129;23191;23654;55558;55920;57556;57580;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000185008;ENSG00000130827;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000162493;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000169756;ENSG00000169855;ENSG00000179051;ENSG00000117228;ENSG00000140538;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000088899;ENSG00000163466;ENSG00000091129;ENSG00000187323;ENSG00000131711
GO:0090150	establishment of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0090150	257	31	11.623295296409685	2.667057767135588	6.175035935918061e-7	1.8051688386000464e-4	637;2664;5584;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6386;6746;7029;7311;10399;10815;25837;25873;83871;91461;133022	ENSG00000168993;ENSG00000114126;ENSG00000171858;ENSG00000015475;ENSG00000182899;ENSG00000137575;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000109113;ENSG00000167964;ENSG00000221983;ENSG00000174599;ENSG00000203879;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000163479;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000163558;ENSG00000122406;ENSG00000204628;ENSG00000149273;ENSG00000161016;ENSG00000174444;ENSG00000162878
GO:0010720	positive regulation of cell development	http://amigo.geneontology.org/amigo/term/GO:0010720	486	47	21.98023935430003	2.138284267173156	7.161499926411352e-7	1.9983840021926952e-4	116;351;604;653;706;1857;2316;2664;2736;3065;3987;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7474;7732;7852;8904;9139;10109;10154;10362;10494;22871;23129;23191;23654;55558;57556;57580;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000074047;ENSG00000121966;ENSG00000078699;ENSG00000124126;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000169756;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000163466;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000131711
GO:0001501	skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0001501	473	45	21.392290564987476	2.103561554724345	1.93623133681875e-6	5.168053989882742e-4	165;653;1277;1281;1292;1293;1301;2019;2138;2736;2778;3205;3481;4211;4256;4313;5087;5156;5308;5358;5549;6259;6422;6662;6935;7059;7227;7289;7474;9061;9770;10163;22856;23314;25976;27230;28982;55636;56034;56987;64399;81578;91461;124976;389058	ENSG00000104447;ENSG00000104332;ENSG00000158195;ENSG00000074047;ENSG00000111341;ENSG00000104313;ENSG00000114251;ENSG00000114439;ENSG00000119042;ENSG00000183018;ENSG00000164093;ENSG00000164161;ENSG00000120742;ENSG00000125398;ENSG00000169231;ENSG00000163064;ENSG00000134853;ENSG00000078246;ENSG00000167244;ENSG00000143995;ENSG00000087245;ENSG00000142173;ENSG00000124749;ENSG00000163785;ENSG00000131873;ENSG00000163659;ENSG00000101265;ENSG00000148516;ENSG00000188783;ENSG00000163359;ENSG00000185630;ENSG00000087460;ENSG00000102024;ENSG00000204335;ENSG00000112175;ENSG00000162769;ENSG00000171316;ENSG00000078399;ENSG00000145431;ENSG00000060718;ENSG00000138801;ENSG00000162878;ENSG00000168542;ENSG00000108821;ENSG00000106624
GO:0051961	negative regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051961	287	32	12.980100194823267	2.465312248726883	2.321994449938636e-6	5.939468303405535e-4	116;351;706;1281;1495;1630;1910;2664;3956;4211;4804;4916;5080;5087;5376;6092;6259;6662;6993;7025;7289;7431;7474;9139;9289;9448;10769;22871;53335;55558;57556;58190	ENSG00000092421;ENSG00000078699;ENSG00000064300;ENSG00000114251;ENSG00000100097;ENSG00000144579;ENSG00000125398;ENSG00000185008;ENSG00000205336;ENSG00000100300;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000169760;ENSG00000078246;ENSG00000143995;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000007372;ENSG00000044115;ENSG00000185630;ENSG00000140538;ENSG00000142192;ENSG00000203879;ENSG00000136160;ENSG00000187323;ENSG00000146425;ENSG00000145632;ENSG00000168542;ENSG00000026025
GO:0001732	formation of cytoplasmic translation initiation complex	http://amigo.geneontology.org/amigo/term/GO:0001732	11	6	0.4974951294183134	12.06041958041958	3.180348038478442e-6	7.809662643287662e-4	3646;8664;8666;8667;8668;27335	ENSG00000100353;ENSG00000178982;ENSG00000130811;ENSG00000104408;ENSG00000147677;ENSG00000084623
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	455	43	20.578207625939328	2.0895891800507185	3.89953905610696e-6	9.207411640554087e-4	116;653;991;1123;1630;1808;1857;2664;3956;4131;4135;4804;4897;4916;5376;5454;5584;6091;6092;6259;6383;6422;6857;6993;7025;7431;7474;9139;9448;9762;10154;10494;10769;22871;23129;23191;23654;53335;55558;57556;57580;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000104332;ENSG00000078699;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000100097;ENSG00000185008;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000169855;ENSG00000140538;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000112175;ENSG00000088899;ENSG00000091129;ENSG00000067715;ENSG00000187323;ENSG00000163558;ENSG00000146425;ENSG00000145632;ENSG00000131711;ENSG00000026025;ENSG00000117399
GO:0034655	nucleobase-containing compound catabolic process	http://amigo.geneontology.org/amigo/term/GO:0034655	471	44	21.301836905093236	2.0655495672056183	4.065498357741504e-6	9.243738673398183e-4	328;863;3005;3646;3704;4869;5213;5236;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10128;10236;11157;11164;11340;23589;25873;26137;51071;54541;55802;56952;170506	ENSG00000079739;ENSG00000099256;ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000125877;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000181722;ENSG00000120699;ENSG00000221983;ENSG00000165609;ENSG00000129993;ENSG00000174953;ENSG00000138095;ENSG00000164167;ENSG00000023697;ENSG00000105372;ENSG00000189060;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000152556;ENSG00000168209;ENSG00000026025;ENSG00000090621
GO:0050768	negative regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050768	268	30	12.120790425828	2.4750861079219284	4.424784421530603e-6	9.701339844205847e-4	116;351;706;1281;1495;1630;1910;2664;3956;4211;4804;4916;5080;5087;5376;6259;6662;6993;7025;7431;7474;9139;9289;9448;10769;22871;53335;55558;57556;58190	ENSG00000092421;ENSG00000078699;ENSG00000064300;ENSG00000114251;ENSG00000100097;ENSG00000144579;ENSG00000125398;ENSG00000205336;ENSG00000100300;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000169760;ENSG00000143995;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000007372;ENSG00000044115;ENSG00000185630;ENSG00000140538;ENSG00000142192;ENSG00000203879;ENSG00000136160;ENSG00000187323;ENSG00000146425;ENSG00000145632;ENSG00000168542;ENSG00000026025
GO:0045666	positive regulation of neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0045666	329	34	14.879627052602283	2.2850035071311665	6.134921811451477e-6	0.0012986994827758832	116;604;653;1857;2664;2736;4131;4135;4804;4897;4916;5584;6091;6092;6857;6925;6929;6935;6938;6993;7474;7732;8904;9139;10154;10362;10494;22871;23129;23191;23654;55558;79006;170506	ENSG00000064961;ENSG00000074047;ENSG00000078699;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000130827;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000196576;ENSG00000148516;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000146425;ENSG00000131711
