geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	247	34	11.162483487450462	3.0459171597633135	6.3673013528386946e-9	3.554111846039053e-6	351;1123;1630;1808;2549;2596;2736;3800;3908;3913;4628;4756;4897;5080;5598;5797;6091;6092;6259;6464;7474;7852;9638;10154;23022;23129;23191;23654;23767;23768;55558;57556;90249;91653	ENSG00000092421;ENSG00000144857;ENSG00000109458;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000114251;ENSG00000273749;ENSG00000172020;ENSG00000129116;ENSG00000185008;ENSG00000172037;ENSG00000130827;ENSG00000160691;ENSG00000004399;ENSG00000067141;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000168280;ENSG00000007372;ENSG00000169855;ENSG00000142192;ENSG00000113763;ENSG00000133026;ENSG00000136040;ENSG00000092964;ENSG00000173482;ENSG00000149557;ENSG00000091129;ENSG00000187323;ENSG00000196569;ENSG00000125848;ENSG00000166484
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	139	24	6.281721476743378	3.820608743774211	1.3605612414480106e-8	6.961538352075655e-6	2664;5584;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6386;6746;7311;25873;133022	ENSG00000171858;ENSG00000182899;ENSG00000137575;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000221983;ENSG00000174599;ENSG00000203879;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000163479;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000163558;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0002181	cytoplasmic translation	http://amigo.geneontology.org/amigo/term/GO:0002181	64	16	2.8923034137523467	5.531923076923077	1.6235193855962393e-8	7.668006944277623e-6	1968;3646;6132;6135;6156;6160;6165;6227;8531;8664;8666;8667;8668;25873;27335;170506	ENSG00000171858;ENSG00000182899;ENSG00000142676;ENSG00000130255;ENSG00000174953;ENSG00000100353;ENSG00000178982;ENSG00000130811;ENSG00000071082;ENSG00000130741;ENSG00000104408;ENSG00000156482;ENSG00000147677;ENSG00000084623;ENSG00000161016;ENSG00000060138
GO:0051962	positive regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051962	482	50	21.78266008482236	2.295403766358123	3.407806992150597e-8	1.4945667808431904e-5	116;351;604;653;706;991;1857;2316;2664;2735;2736;3065;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7058;7474;7732;7852;8904;9139;10154;10362;10494;22871;23129;23191;23654;23767;23768;26050;55558;57556;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000111087;ENSG00000074047;ENSG00000185070;ENSG00000121966;ENSG00000078699;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000165300;ENSG00000131711;ENSG00000125848;ENSG00000186340;ENSG00000117399
GO:0006402	mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006402	258	33	11.659598136689148	2.8302862254025043	6.530257179448995e-8	2.6730519387877884e-5	328;3646;4869;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10236;11157;11340;23589;25873;55802;170506	ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000026025;ENSG00000090621
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	163	25	7.366335256900508	3.3938178386031144	7.818334157860818e-8	3.000285733079089e-5	3646;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;11157;11340;25873;55802;170506	ENSG00000171858;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000174444
GO:0050769	positive regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050769	422	44	19.071125634429535	2.3071527524608095	2.01231150187553e-7	7.26799565971515e-5	116;351;604;653;706;1857;2316;2664;2736;3065;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7474;7732;7852;8904;9139;10154;10362;10494;22871;23129;23191;23654;55558;57556;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000074047;ENSG00000121966;ENSG00000078699;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000131711
GO:0022604	regulation of cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022604	454	46	20.51727734130571	2.24201287699085	2.4461101277850616e-07	8.343953435889043e-5	388;390;832;1123;1630;1808;1857;2316;2633;2664;3679;3987;4131;4135;4628;4804;4897;4916;5064;5454;6091;6092;6259;6383;6857;7168;7474;9368;9762;10109;10154;10494;10630;22836;22871;23129;23191;23654;53335;55558;55920;57556;57580;58480;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000109062;ENSG00000099864;ENSG00000185008;ENSG00000130827;ENSG00000119866;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000143878;ENSG00000162493;ENSG00000161202;ENSG00000135424;ENSG00000163785;ENSG00000116574;ENSG00000164292;ENSG00000196576;ENSG00000128656;ENSG00000169756;ENSG00000169855;ENSG00000179051;ENSG00000117228;ENSG00000140538;ENSG00000115963;ENSG00000174953;ENSG00000203879;ENSG00000133026;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000088899;ENSG00000163466;ENSG00000091129;ENSG00000067715;ENSG00000187323;ENSG00000077549;ENSG00000140416;ENSG00000131711
GO:0006401	RNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006401	288	34	13.01536536188556	2.6122970085470083	2.9059439476952775e-7	9.390787283604738e-5	328;3646;4869;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10128;10236;11157;11340;23589;25873;55802;170506	ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000120699;ENSG00000221983;ENSG00000174953;ENSG00000138095;ENSG00000164167;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000026025;ENSG00000090621
GO:0010769	regulation of cell morphogenesis involved in differentiation	http://amigo.geneontology.org/amigo/term/GO:0010769	283	33	12.789404157686159	2.580260940472954	5.773832176814153e-7	1.772566478281945e-4	1123;1630;1808;2316;2633;2664;3987;4131;4135;4804;4897;4916;5454;6091;6092;6259;6383;7474;9762;10109;10154;10494;10630;22871;23129;23191;23654;55558;55920;57556;57580;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000185008;ENSG00000130827;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000162493;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000169756;ENSG00000169855;ENSG00000179051;ENSG00000117228;ENSG00000140538;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000088899;ENSG00000163466;ENSG00000091129;ENSG00000187323;ENSG00000131711
GO:0090150	establishment of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0090150	257	31	11.614405895849266	2.6690990721340917	6.075966337837357e-7	1.7764968244914943e-4	637;2664;5584;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6386;6746;7029;7311;10399;10815;25837;25873;83871;91461;133022	ENSG00000168993;ENSG00000114126;ENSG00000171858;ENSG00000015475;ENSG00000182899;ENSG00000137575;ENSG00000137154;ENSG00000142676;ENSG00000130255;ENSG00000105193;ENSG00000109113;ENSG00000167964;ENSG00000221983;ENSG00000174599;ENSG00000203879;ENSG00000105372;ENSG00000182774;ENSG00000071082;ENSG00000156482;ENSG00000163479;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000142534;ENSG00000163558;ENSG00000122406;ENSG00000204628;ENSG00000149273;ENSG00000161016;ENSG00000174444;ENSG00000162878
GO:0010720	positive regulation of cell development	http://amigo.geneontology.org/amigo/term/GO:0010720	488	47	22.053813529861642	2.1311506935687263	7.882421702021247e-7	2.1999122386550207e-4	116;351;604;653;706;1857;2316;2664;2736;3065;3987;4124;4131;4135;4673;4804;4897;4916;5080;5270;5584;6091;6092;6857;6925;6929;6935;6938;6993;7474;7732;7852;8904;9139;10109;10154;10362;10494;22871;23129;23191;23654;55558;57556;57580;79006;170506	ENSG00000092421;ENSG00000064961;ENSG00000074047;ENSG00000121966;ENSG00000078699;ENSG00000124126;ENSG00000071564;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000196924;ENSG00000140262;ENSG00000185008;ENSG00000196628;ENSG00000100300;ENSG00000130827;ENSG00000112893;ENSG00000128482;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000141433;ENSG00000135919;ENSG00000196576;ENSG00000169756;ENSG00000148516;ENSG00000007372;ENSG00000214078;ENSG00000169855;ENSG00000140538;ENSG00000142192;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000112175;ENSG00000113916;ENSG00000163466;ENSG00000091129;ENSG00000067715;ENSG00000163558;ENSG00000116478;ENSG00000187109;ENSG00000146425;ENSG00000131711
GO:0001501	skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0001501	474	45	21.42112215810332	2.1007302823758516	2.008878787762569e-6	5.362832937766162e-4	165;653;1277;1281;1292;1293;1301;2019;2138;2736;2778;3205;3481;4211;4256;4313;5087;5156;5308;5358;5549;6259;6422;6662;6935;7059;7227;7289;7474;9061;9770;10163;22856;23314;25976;27230;28982;55636;56034;56987;64399;81578;91461;124976;389058	ENSG00000104447;ENSG00000104332;ENSG00000158195;ENSG00000074047;ENSG00000111341;ENSG00000104313;ENSG00000114251;ENSG00000114439;ENSG00000119042;ENSG00000183018;ENSG00000164093;ENSG00000164161;ENSG00000120742;ENSG00000125398;ENSG00000169231;ENSG00000163064;ENSG00000134853;ENSG00000078246;ENSG00000167244;ENSG00000143995;ENSG00000087245;ENSG00000142173;ENSG00000124749;ENSG00000163785;ENSG00000131873;ENSG00000163659;ENSG00000101265;ENSG00000148516;ENSG00000188783;ENSG00000163359;ENSG00000185630;ENSG00000087460;ENSG00000102024;ENSG00000204335;ENSG00000112175;ENSG00000162769;ENSG00000171316;ENSG00000078399;ENSG00000145431;ENSG00000060718;ENSG00000138801;ENSG00000162878;ENSG00000168542;ENSG00000108821;ENSG00000106624
GO:0051961	negative regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051961	287	32	12.97017312104568	2.4671991423210935	2.2852086287716844e-6	5.84632540860756e-4	116;351;706;1281;1495;1630;1910;2664;3956;4211;4804;4916;5080;5087;5376;6092;6259;6662;6993;7025;7289;7431;7474;9139;9289;9448;10769;22871;53335;55558;57556;58190	ENSG00000092421;ENSG00000078699;ENSG00000064300;ENSG00000114251;ENSG00000100097;ENSG00000144579;ENSG00000125398;ENSG00000185008;ENSG00000205336;ENSG00000100300;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000169760;ENSG00000078246;ENSG00000143995;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000007372;ENSG00000044115;ENSG00000185630;ENSG00000140538;ENSG00000142192;ENSG00000203879;ENSG00000136160;ENSG00000187323;ENSG00000146425;ENSG00000145632;ENSG00000168542;ENSG00000026025
GO:0001732	formation of cytoplasmic translation initiation complex	http://amigo.geneontology.org/amigo/term/GO:0001732	11	6	0.4971146492386846	12.069650349650349	3.1662619590644425e-6	7.776339371462271e-4	3646;8664;8666;8667;8668;27335	ENSG00000100353;ENSG00000178982;ENSG00000130811;ENSG00000104408;ENSG00000147677;ENSG00000084623
GO:0034655	nucleobase-containing compound catabolic process	http://amigo.geneontology.org/amigo/term/GO:0034655	471	44	21.285545435583675	2.0671304915890905	3.987438024655177e-6	9.203192753226152e-4	328;863;3005;3646;3704;4869;5213;5236;6124;6125;6132;6135;6146;6156;6158;6160;6165;6181;6188;6194;6205;6217;6218;6223;6227;6741;7311;7431;7514;8531;8761;10128;10236;11157;11164;11340;23589;25873;26137;51071;54541;55802;56952;170506	ENSG00000079739;ENSG00000099256;ENSG00000171858;ENSG00000153048;ENSG00000182899;ENSG00000272886;ENSG00000137154;ENSG00000125877;ENSG00000142676;ENSG00000181163;ENSG00000130255;ENSG00000105193;ENSG00000138385;ENSG00000181722;ENSG00000120699;ENSG00000221983;ENSG00000165609;ENSG00000129993;ENSG00000174953;ENSG00000138095;ENSG00000164167;ENSG00000023697;ENSG00000105372;ENSG00000189060;ENSG00000182774;ENSG00000071082;ENSG00000104408;ENSG00000156482;ENSG00000100823;ENSG00000177600;ENSG00000108107;ENSG00000116251;ENSG00000082898;ENSG00000142534;ENSG00000122406;ENSG00000149273;ENSG00000161016;ENSG00000060138;ENSG00000174444;ENSG00000125944;ENSG00000152556;ENSG00000168209;ENSG00000026025;ENSG00000090621
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	456	43	20.60766182298547	2.086602564102564	4.047006585294888e-6	9.203192753226152e-4	116;653;991;1123;1630;1808;1857;2664;3956;4131;4135;4804;4897;4916;5376;5454;5584;6091;6092;6259;6383;6422;6857;6993;7025;7431;7474;9139;9448;9762;10154;10494;10769;22871;23129;23191;23654;53335;55558;57556;57580;79006;170506	ENSG00000092421;ENSG00000184486;ENSG00000104332;ENSG00000078699;ENSG00000124126;ENSG00000064300;ENSG00000114251;ENSG00000103260;ENSG00000273749;ENSG00000100097;ENSG00000185008;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000004399;ENSG00000169760;ENSG00000115694;ENSG00000161202;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000196576;ENSG00000128656;ENSG00000169855;ENSG00000140538;ENSG00000174953;ENSG00000203879;ENSG00000136040;ENSG00000171533;ENSG00000092964;ENSG00000169439;ENSG00000112175;ENSG00000088899;ENSG00000091129;ENSG00000067715;ENSG00000187323;ENSG00000163558;ENSG00000146425;ENSG00000145632;ENSG00000131711;ENSG00000026025;ENSG00000117399
GO:0050768	negative regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050768	268	30	12.111520545087952	2.4769804822043624	4.358849700514256e-6	9.558334700413403e-4	116;351;706;1281;1495;1630;1910;2664;3956;4211;4804;4916;5080;5087;5376;6259;6662;6993;7025;7431;7474;9139;9289;9448;10769;22871;53335;55558;57556;58190	ENSG00000092421;ENSG00000078699;ENSG00000064300;ENSG00000114251;ENSG00000100097;ENSG00000144579;ENSG00000125398;ENSG00000205336;ENSG00000100300;ENSG00000109099;ENSG00000130827;ENSG00000119866;ENSG00000071054;ENSG00000169760;ENSG00000143995;ENSG00000175745;ENSG00000141433;ENSG00000163785;ENSG00000007372;ENSG00000044115;ENSG00000185630;ENSG00000140538;ENSG00000142192;ENSG00000203879;ENSG00000136160;ENSG00000187323;ENSG00000146425;ENSG00000145632;ENSG00000168542;ENSG00000026025
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	389	38	17.57978168671348	2.1615740557642873	6.561147931849476e-6	0.0013484719522554773	1968;2091;3646;4869;6125;6135;6165;6194;6217;6218;6223;6227;6628;6633;6634;7514;8664;8666;8667;8668;10946;11157;11168;11340;27335;29889;29997;51068;51504;51602;54059;54433;55006;55636;65003;83939;84128;154743	ENSG00000171858;ENSG00000182899;ENSG00000174547;ENSG00000125743;ENSG00000137154;ENSG00000142676;ENSG00000105373;ENSG00000173113;ENSG00000181163;ENSG00000115368;ENSG00000105193;ENSG00000109534;ENSG00000169251;ENSG00000120699;ENSG00000105202;ENSG00000182362;ENSG00000164603;ENSG00000164167;ENSG00000164985;ENSG00000100353;ENSG00000178982;ENSG00000105372;ENSG00000183431;ENSG00000130811;ENSG00000182774;ENSG00000134697;ENSG00000144895;ENSG00000130741;ENSG00000104408;ENSG00000171103;ENSG00000147677;ENSG00000055044;ENSG00000171316;ENSG00000084623;ENSG00000082898;ENSG00000122406;ENSG00000100028;ENSG00000125835
