geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	http://amigo.geneontology.org/amigo/term/GO:0000377	76	25	11.0088945362135	2.27089104339797	3.54357559799734e-05	0.00460664827739654	192325;192330;192331;266962;286774;321114;321860;324121;325550;326944;368864;387600;393282;393475;393979;394053;402966;406249;406824;415167;431768;436946;446116;795398;100006246	ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000067639;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000011125;ENSDARG00000015111;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000037930;ENSDARG00000004757
GO:0000398	mRNA splicing, via spliceosome	http://amigo.geneontology.org/amigo/term/GO:0000398	76	25	11.0088945362135	2.27089104339797	3.54357559799734e-05	0.00460664827739654	192325;192330;192331;266962;286774;321114;321860;324121;325550;326944;368864;387600;393282;393475;393979;394053;402966;406249;406824;415167;431768;436946;446116;795398;100006246	ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000067639;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000011125;ENSDARG00000015111;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000037930;ENSDARG00000004757
GO:0000375	RNA splicing, via transesterification reactions	http://amigo.geneontology.org/amigo/term/GO:0000375	78	25	11.2986022871665	2.21266306792623	5.79017729895881e-05	0.00687576452666327	192325;192330;192331;266962;286774;321114;321860;324121;325550;326944;368864;387600;393282;393475;393979;394053;402966;406249;406824;415167;431768;436946;446116;795398;100006246	ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000067639;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000011125;ENSDARG00000015111;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000037930;ENSDARG00000004757
GO:0044085	cellular component biogenesis	http://amigo.geneontology.org/amigo/term/GO:0044085	461	96	66.7776365946633	1.4376070327663	6.27747925729949e-05	0.00687576452666327	30172;30225;30441;58016;192330;192331;321114;321652;321700;321718;321726;321860;321897;322251;322425;323426;323464;323597;325037;325106;326786;326884;327053;327196;327399;334362;336617;336632;352916;368864;386850;387600;393200;393282;393405;393475;393896;393902;393979;394040;394157;394235;394243;399482;402800;405801;406275;406285;406321;406324;406750;415167;431768;432389;436778;436807;436821;436946;436992;442932;445224;445285;445387;445399;447829;447856;474329;492332;494106;553305;553606;553616;553790;554096;557254;558395;563653;566022;566154;567365;567715;568328;569455;570267;573107;613144;777627;793949;794020;795670;100000242;100003572;100003787;100009659;100333944;100884142	ENSDARG00000040971;ENSDARG00000068457;ENSDARG00000069422;ENSDARG00000017423;ENSDARG00000090191;ENSDARG00000097772;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000003487;ENSDARG00000002952;ENSDARG00000020890;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000029058;ENSDARG00000014244;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000101127;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000020258;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000036060;ENSDARG00000027099;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000041565;ENSDARG00000059711;ENSDARG00000035018;ENSDARG00000009350;ENSDARG00000025436;ENSDARG00000100209;ENSDARG00000020232;ENSDARG00000007092;ENSDARG00000090219;ENSDARG00000069878;ENSDARG00000036040;ENSDARG00000051902;ENSDARG00000015006;ENSDARG00000020497;ENSDARG00000033175;ENSDARG00000035427;ENSDARG00000012295;ENSDARG00000003952;ENSDARG00000008383;ENSDARG00000019062;ENSDARG00000075380;ENSDARG00000102995;ENSDARG00000053912;ENSDARG00000056473;ENSDARG00000075323;ENSDARG00000007216;ENSDARG00000013122;ENSDARG00000036995;ENSDARG00000018658;ENSDARG00000041870;ENSDARG00000007720;ENSDARG00000044402;ENSDARG00000037855;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000015315;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000052783;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000070801;ENSDARG00000021324;ENSDARG00000041493;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000078041;ENSDARG00000034227;ENSDARG00000095750;ENSDARG00000061095;ENSDARG00000055678;ENSDARG00000077751;ENSDARG00000057929;ENSDARG00000040245;ENSDARG00000003217;ENSDARG00000035987;ENSDARG00000099358;ENSDARG00000016484;ENSDARG00000063627;ENSDARG00000077777;ENSDARG00000061629;ENSDARG00000023920
GO:0009451	RNA modification	http://amigo.geneontology.org/amigo/term/GO:0009451	40	16	5.79415501905972	2.76140350877193	6.61131204486853e-05	0.00687576452666327	322715;325292;393098;393102;393985;406275;445101;494106;553298;553790;566022;568328;570158;606657;613144;100003787	ENSDARG00000069422;ENSDARG00000089260;ENSDARG00000056665;ENSDARG00000020986;ENSDARG00000030830;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000012674;ENSDARG00000021324;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000095750;ENSDARG00000057929;ENSDARG00000063003;ENSDARG00000033967;ENSDARG00000016484
GO:0006399	tRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006399	49	18	7.09783989834816	2.5359828141783	8.83173764423262e-05	0.0086109442031268	114427;322715;325292;334588;368235;393098;393985;406275;406376;445101;553298;553790;556702;562037;562329;566022;570247;606657	ENSDARG00000044575;ENSDARG00000089260;ENSDARG00000056665;ENSDARG00000041570;ENSDARG00000035913;ENSDARG00000020986;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000101047;ENSDARG00000012674;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000077299;ENSDARG00000060494;ENSDARG00000062915;ENSDARG00000095750;ENSDARG00000076176;ENSDARG00000033967
GO:0000470	maturation of LSU-rRNA	http://amigo.geneontology.org/amigo/term/GO:0000470	20	10	2.89707750952986	3.45175438596491	0.000177682849473504	0.0153991802877037	321114;321652;322251;327053;327196;386850;393282;567715;777627;100003787	ENSDARG00000069422;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000042864;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000077751;ENSDARG00000063627
GO:0030490	maturation of SSU-rRNA	http://amigo.geneontology.org/amigo/term/GO:0030490	20	10	2.89707750952986	3.45175438596491	0.000177682849473504	0.0153991802877037	321114;321700;323426;325037;393282;406321;415167;447856;554096;557254	ENSDARG00000023299;ENSDARG00000026767;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000069878;ENSDARG00000075323;ENSDARG00000036995;ENSDARG00000056720;ENSDARG00000045565;ENSDARG00000016080
GO:0051168	nuclear export	http://amigo.geneontology.org/amigo/term/GO:0051168	32	13	4.63532401524778	2.80455043859649	0.000267158061540096	0.0207715089790916	30172;30707;192325;323464;325550;334362;386850;406249;406324;445035;558395;559225;570158	ENSDARG00000014898;ENSDARG00000003487;ENSDARG00000006963;ENSDARG00000015352;ENSDARG00000006225;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000015111;ENSDARG00000007216;ENSDARG00000015394;ENSDARG00000078041;ENSDARG00000030022;ENSDARG00000063003
GO:0006913	nucleocytoplasmic transport	http://amigo.geneontology.org/amigo/term/GO:0006913	53	18	7.67725540025413	2.34458788480636	0.000279616467026234	0.0207715089790916	30172;30707;192325;322969;323464;325550;334362;386850;406249;406324;445035;550239;553305;558395;558883;559225;569455;570158	ENSDARG00000014898;ENSDARG00000003487;ENSDARG00000006963;ENSDARG00000017454;ENSDARG00000015352;ENSDARG00000006225;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000015111;ENSDARG00000007216;ENSDARG00000015394;ENSDARG00000104071;ENSDARG00000041493;ENSDARG00000078041;ENSDARG00000016630;ENSDARG00000030022;ENSDARG00000040245;ENSDARG00000063003
GO:0051169	nuclear transport	http://amigo.geneontology.org/amigo/term/GO:0051169	53	18	7.67725540025413	2.34458788480636	0.000279616467026234	0.0207715089790916	30172;30707;192325;322969;323464;325550;334362;386850;406249;406324;445035;550239;553305;558395;558883;559225;569455;570158	ENSDARG00000014898;ENSDARG00000003487;ENSDARG00000006963;ENSDARG00000017454;ENSDARG00000015352;ENSDARG00000006225;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000015111;ENSDARG00000007216;ENSDARG00000015394;ENSDARG00000104071;ENSDARG00000041493;ENSDARG00000078041;ENSDARG00000016630;ENSDARG00000030022;ENSDARG00000040245;ENSDARG00000063003
GO:0042273	ribosomal large subunit biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042273	37	14	5.35959339263024	2.61213845424372	0.000376113463732008	0.0266698637919061	321114;321652;322251;327053;327196;386850;393282;394040;436807;553606;553616;567715;777627;100003787	ENSDARG00000069422;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000042864;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000035427;ENSDARG00000044402;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000077751;ENSDARG00000063627
GO:0003158	endothelium development	http://amigo.geneontology.org/amigo/term/GO:0003158	19	9	2.75222363405337	3.27008310249307	0.00062954795453285	0.0426997743074455	30225;30523;30766;58146;386762;393150;406559;558410;563933	ENSDARG00000002952;ENSDARG00000038159;ENSDARG00000019930;ENSDARG00000058868;ENSDARG00000007302;ENSDARG00000043716;ENSDARG00000013009;ENSDARG00000055786;ENSDARG00000013441
