refinebio_accession_code	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	channel_count	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_laboratory	contact_name	contact_phone	contact_zip/postal_code	data_processing	data_row_count	description	developmental stage	extract_protocol_ch1	genotype	geo_accession	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	line	molecule_ch1	organism_ch1	platform_id	protocol	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	time	time post-treatment	tissue	title	treatment	treatment_protocol_ch1	type
GSM980283							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			7 days post-amputation wildtype adult zebrafish, sample 2	amputation	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['WT2_7', 'Gene expression data from 7 day post-amputation wildtype adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	wildtype	GSM980283	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013	AB	total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	7 days post-amputation wildtype adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980283/suppl/GSM980283_T7_WT2_Zebrafish.CEL.gz	7955		7 days	heart	7 days post-amputation wildtype adult zebrafish, sample 2	amputation		RNA
GSM450372							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		5 day post-amputation	Zebrafish regenerating heart after 5 days post-amputation - replicate 1 (5DPA1)		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from heart-amputated zebrafish 5 days post-amputation.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450372	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Zebrafish regenerating heart after 5 days post-amputation	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450372/suppl/GSM450372.cel.gz	7955	5 day post-amputation		heart	Zebrafish regenerating heart after 5 days post-amputation - replicate 1 (5DPA1)		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM450375							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		7 day post-amputation	Zebrafish regenerating heart after 7 days post-amputation - replicate 1 (7DPA1)		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from heart-amputated zebrafish 7 days post-amputation.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450375	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Zebrafish regenerating heart after 7 days post-amputation	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450375/suppl/GSM450375.cel.gz	7955	7 day post-amputation		heart	Zebrafish regenerating heart after 7 days post-amputation - replicate 1 (7DPA1)		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM980280							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2	amputation	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['HIF2_7', 'Gene expression data from 7 day post-amputation dnHIF1a-expressing adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	Tg(cmlc2a:Ert2-Cre-Ert2/cmlc2a:LnL:GFP)(cmlc2a:LrL:dnHIF1a)	GSM980280	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013		total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	7 days post-amputation dnHIF1a-expressing adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980280/suppl/GSM980280_T7_dn_HIF2_Zebrafish.CEL.gz	7955		7 days	heart	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2	amputation		RNA
GSM980274							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			Unamputated dnHIF1a-expressing adult zebrafish, sample 2	none	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['HIF2_0', 'Gene expression data from unamputated dnHIF1a-expressing adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	Tg(cmlc2a:Ert2-Cre-Ert2/cmlc2a:LnL:GFP)(cmlc2a:LrL:dnHIF1a)	GSM980274	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013		total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	unamputated dnHIF1a-expressing adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980274/suppl/GSM980274_T0_dn_HIF2_Zebrafish.CEL.gz	7955			heart	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	none		RNA
GSM450376							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		7 day post-amputation	Zebrafish regenerating heart after 7 days post-amputation - replicate 2 (7DPA2)		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from heart-amputated zebrafish 7 days post-amputation.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450376	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Zebrafish regenerating heart after 7 days post-amputation	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450376/suppl/GSM450376.cel.gz	7955	7 day post-amputation		heart	Zebrafish regenerating heart after 7 days post-amputation - replicate 2 (7DPA2)		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM980276							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			Unamputated wildtype adult zebrafish, sample 1	none	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['WT1_0', 'Gene expression data from unamputated wildtype adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	wildtype	GSM980276	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013	AB	total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	unamputated wildtype adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980276/suppl/GSM980276_T0_WT1_Zebrafish.CEL.gz	7955			heart	Unamputated wildtype adult zebrafish, sample 1	none		RNA
GSM980284							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			7 days post-amputation wildtype adult zebrafish, sample 3	amputation	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['WT3_7', 'Gene expression data from 7 day post-amputation wildtype adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	wildtype	GSM980284	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013	AB	total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	7 days post-amputation wildtype adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980284/suppl/GSM980284_T7_WT3_Zebrafish.CEL.gz	7955		7 days	heart	7 days post-amputation wildtype adult zebrafish, sample 3	amputation		RNA
GSM980275							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			Unamputated dnHIF1a-expressing adult zebrafish, sample 3	none	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['HIF3_0', 'Gene expression data from unamputated dnHIF1a-expressing adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	Tg(cmlc2a:Ert2-Cre-Ert2/cmlc2a:LnL:GFP)(cmlc2a:LrL:dnHIF1a)	GSM980275	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013		total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	unamputated dnHIF1a-expressing adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980275/suppl/GSM980275_T0_dn_HIF3_Zebrafish.CEL.gz	7955			heart	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	none		RNA
GSM450368							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		1 day post-amputation	Zebrafish regenerating heart after 1 day post-amputation - replicate 3 (1DPA3)		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from heart-amputated zebrafish 1 day post amputation.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450368	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Zebrafish regenerating heart after 1 day post-amputation	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450368/suppl/GSM450368.cel.gz	7955	1 day post-amputation		heart	Zebrafish regenerating heart after 1 day post-amputation - replicate 3 (1DPA3)		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM450367							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		1 day post-amputation	Zebrafish regenerating heart after 1 day post-amputation - replicate 2 (1DPA2)		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from heart-amputated zebrafish 1 day post amputation.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450367	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Zebrafish regenerating heart after 1 day post-amputation	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450367/suppl/GSM450367.cel.gz	7955	1 day post-amputation		heart	Zebrafish regenerating heart after 1 day post-amputation - replicate 2 (1DPA2)		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM980282							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			7 days post-amputation wildtype adult zebrafish, sample 1	amputation	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['WT1_7', 'Gene expression data from 7 day post-amputation wildtype adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	wildtype	GSM980282	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013	AB	total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	7 days post-amputation wildtype adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980282/suppl/GSM980282_T7_WT1_Zebrafish.CEL.gz	7955		7 days	heart	7 days post-amputation wildtype adult zebrafish, sample 1	amputation		RNA
GSM980279							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart			7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	amputation	1	141 rue de la Cardonille	Montpellier	France	Physiologie	chris.jopling@igf.cnrs.fr	Institut de Gnomique Fonctionnelle	Molecular mechansims of regeneration	Chris,,Jopling	+33 434359253	34094	The data were analyzed using the RMA algorithm. Then, LIMMA was applied to calculate significant differential expression between samples.	15617	['HIF1_7', 'Gene expression data from 7 day post-amputation dnHIF1a-expressing adult zebrafish hearts.']	adult, sexually mature	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	Tg(cmlc2a:Ert2-Cre-Ert2/cmlc2a:LnL:GFP)(cmlc2a:LrL:dnHIF1a)	GSM980279	Samples were hybridized to GeneChip Zebrafish Genome Arrays (Affymetrix) using a GeneChip Hybridization Oven 640.	biotin	200 ng of total RNA were amplified and labeled using the WT Sense Target labeling system and control reagents (Affymetrix).	Jan 15 2013		total RNA	Danio rerio	GPL1319		GeneChip was scanned using Affymetrix GeneChip Scanner 7G.	GSE39842	7 days post-amputation dnHIF1a-expressing adult zebrafish	Public on Jan 15 2013	Aug 02 2012	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980279/suppl/GSM980279_T7_dn_HIF1_Zebrafish.CEL.gz	7955		7 days	heart	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	amputation		RNA
GSM450363							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		control	Control heart - rep 1		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from control zebrafish.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450363	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	not amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Heart sample from control animals	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450363/suppl/GSM450363.cel.gz	7955	control		heart	Control heart - rep 1		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
GSM450365							DANIO_RERIO	Affymetrix Zebrafish Genome Array (zebrafish)				GEO	heart		control	Control heart - rep 3		1	Dr Aiguader 88	Barcelona	Spain			CMRB		Stephanie,,Boue		08003	Data were processed using the affy and gcrma packages of Bioconductor (Gentleman et al. 2004) in R. Briefly, data were imported in R, and normalized using the gcrma normalization. As data were obtained in 3 batches, a batch correction procedure (Johnson, W. E., C. Li, et al. 2007) was applied in order to homogenize the data.	15617	Heart samples from control zebrafish.		Total RNA was extracted using TRIzol reagent (Invitrogen) after disrupting the tissue with RNAse-free pistons (BioBlock) and further homogenization by passing the suspension through a 25G needle and a 1ml syringe. An additional clean-up protocol including DNAse I digestion was performed using RNeasy Mini Kit (Qiagen).		GSM450365	1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).	biotin	['The GeneChip microarray processing was performed by the Functional Genomica Core in the Institute for Research in Biomedicine (Barcelona, Spain) according to the manufacturers protocols (Affymetrix, Santa Clara, CA) as descrived previously (Virtaneva et al., 2001).', '1 to 2 g of total RNA was used for biotin-cRNA labeling, fragmentation and hybridization onto the Affymetrix GeneChip Zebrafish Genome Array (Affymetrix).']	Mar 29 2010		total RNA	Danio rerio	GPL1319	not amputated	Default settings for the Affymetrix GeneChip Scanner (7G upgrade)	GSE17993	Heart samples from control (not amputated) zebrafish - replicate 3	Public on Feb 25 2010	Sep 07 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM450nnn/GSM450365/suppl/GSM450365.cel.gz	7955	control		heart	Control heart - rep 3		['Wild-type AB line zebrafish were maintained at 28.5C by standard methods (Raya et al. 2003) in the animal facilities of the Salk Institute for Biological Studies (La Jolla, San Diego, USA) and the Biomedical Research Park in Barcelona (Spain).', 'Sham-operated and regenerating hearts at 1, 3, 5 and 7 days post-amputation (dpa) were harvested by pulling from the outflow tract and the sinus venosus and put into PBS. Once in PBS, the outflow tract and the atrium were removed and the ventricles were washed from blood by letting it flow into the buffer and gently pressing the tissue.']	RNA
